gid,animal,time,geom,label
1114,767,2006-11-22 16:01:40,0101000020110F00000ADC36D61AC73241ECAF0BF307105641,2
1115,767,2006-11-22 20:01:18,0101000020110F0000DB127F404DC63241E3418686CD0F5641,2
1116,767,2006-11-23 00:01:54,0101000020110F00008327FC464BC332419C990B2D020F5641,2
1117,767,2006-11-23 04:01:23,0101000020110F0000535379D54BC33241A2E75AB0020F5641,2
1118,767,2006-11-23 08:01:19,0101000020110F0000D69D59A059C33241F5AFF6C0FE0E5641,2
1119,767,2006-11-23 16:01:46,0101000020110F00008C6AF07005C73241342F28DAFA0F5641,2
1120,767,2006-11-23 20:01:37,0101000020110F000050EDC25223C232419CF107282C0F5641,2
1121,767,2006-11-24 00:00:52,0101000020110F0000B3EA18E224C33241E8F0D8D5010F5641,2
1188,767,2006-12-08 00:01:23,0101000020110F00009C5C42E5A8C232415FA86E7B720F5641,2
1189,767,2006-12-08 04:01:23,0101000020110F0000E275FDE3A9C53241F46FB655990F5641,2
724,767,2006-08-16 10:03:08,0101000020110F0000145DD5E9EFC732410780A892C00F5641,2
1049,767,2006-11-08 12:03:03,0101000020110F0000A84444B649C632419147CD3AF10F5641,2
564,767,2006-06-18 04:02:19,0101000020110F0000A6A180DBB5C53241A4FDCDA4D50E5641,2
54,767,2005-12-20 06:03:07,0101000020110F000042E66F1F22CB3241C5A1E772590E5641,1
3,767,2005-11-28 04:01:52,0101000020110F00006CF1631B07CC324110A585E2070E5641,1
10,767,2005-11-29 16:01:47,0101000020110F000019F6A40245CB324164ADA1991C0E5641,1
18,767,2005-12-01 16:02:38,0101000020110F0000E6204B635DCA32415FDE6FD7700E5641,1
89,767,2006-01-03 18:03:10,0101000020110F0000581EC5F21DCB3241DDD01415510E5641,1
111,767,2006-01-14 18:03:09,0101000020110F00006E07B83BF8CA32410AA395BE640E5641,1
133,767,2006-01-25 12:02:29,0101000020110F00000099CE88FFC93241CDAB7AF3630E5641,1
155,767,2006-02-04 06:01:24,0101000020110F0000A6F69EFBC9CC324192C371EB880E5641,1
162,767,2006-02-06 00:02:41,0101000020110F000071DC945E1DCB3241950DED63EC0D5641,1
169,767,2006-02-08 00:02:09,0101000020110F000096F0212204CB3241642C0B3A6F0E5641,1
193,767,2006-02-17 00:02:11,0101000020110F00004EE6270BAFCC3241328FFC63270E5641,1
215,767,2006-03-02 06:02:59,0101000020110F0000C55C4AF5F2CB32413DD2C1D9010E5641,1
237,767,2006-03-10 18:01:54,0101000020110F0000998256F2C9CA324115E7E63D1B0E5641,1
259,767,2006-03-20 00:02:54,0101000020110F0000D1FE30AF18CC32413C61EEDE300E5641,1
171,767,2006-02-08 12:01:17,0101000020110F00008111C937DECA32419899A5484D0E5641,1
276,767,2006-03-27 06:02:22,0101000020110F0000F959FA5D04CB3241548D7F61340E5641,1
298,767,2006-04-04 08:00:54,0101000020110F00003CB84376B4CA3241D24BF13FB00D5641,1
320,767,2006-04-13 00:02:18,0101000020110F0000F6A1667D6FCB3241DEC2C22A4F0E5641,1
